"","volume","church","page","city","state","start.date","end.date","communion.general","converts","under.instruction","diocese","type","mission.number","communion.adults","communion.children","communion.men","communion.women","order","notes","converts.adult","converts.children","location"
"99",1,"St. Patrick's Church",209,"Quebec","QC","3/20/1859","4/3/1859",7250,"50",NA,"Quebec","mission",13,NA,NA,NA,NA,"Paulist","",NA,NA,"Quebec QC"
"100",1,"St. Peter's Church",218,"Troy","NY","4/10/1859","4/20/1859",2600,"6",NA,"Albany","mission",14,2440,160,NA,NA,"Paulist","",NA,NA,"Troy NY"
"101",1,"Cathedral of the Immaculate Conception",223,"St. John","NB","9/4/1859","9/15/1859",8450,"6",NA,"Halifax","mission",15,NA,NA,NA,NA,"Paulist","",NA,NA,"St. John NB"
"102",1,"St. Mary's Church",227,"Jersey City","NJ","10/2/1859","10/10/1859",1950,"3",NA,"Newark","mission",16,1800,150,NA,NA,"Paulist","",NA,NA,"Jersey City NJ"
"103",1,"St. Mary's Church",230,"New York","NY","10/16/1859","10/23/1859",3500,"5",NA,"New York","mission",17,NA,NA,NA,NA,"Paulist","",NA,NA,"New York NY"
"104",1,"St. James' Church",234,"Bridgeport","CT","10/30/1859","11/7/1859",1570,"",NA,"Hartford","mission",18,NA,NA,NA,NA,"Paulist","",NA,NA,"Bridgeport CT"
"105",1,"Church of St. Paul the Apostle",237,"New York","NY","12/18/1859","12/25/1859",800,"",NA,"New York","mission",19,725,75,NA,NA,"Paulist","",NA,NA,"New York NY"
"106",1,"St. Mary's Church",239,"Clifton, Staten Island","NY","1/1/1860","1/8/1860",1250,"3",NA,"New York","mission",20,1159,91,NA,NA,"Paulist","",NA,NA,"Clifton, Staten Island NY"
"107",1,"Church of the Immaculate Conception",241,"Waterbury","CT","1/15/1860","1/29/1860",2800,"3",NA,"Hartford","mission",21,NA,NA,NA,NA,"Paulist","",NA,NA,"Waterbury CT"
"108",1,"St. John's Church",244,"Middletown","CT","2/5/1860","2/14/1860",2270,"3",NA,"Hartford","mission",22,2100,170,NA,NA,"Paulist","",NA,NA,"Middletown CT"
"109",1,"St. Mary's Church",NA,"New Britain","CT","2/19/1860","2/28/1860",1230,"",NA,"Hartford","mission",23,NA,NA,NA,NA,"Paulist","",NA,NA,"New Britain CT"
"110",1,"St. Rose's Church",249,"Meriden","CT","3/11/1860","3/18/1860",810,"",NA,"Hartford","mission",24,770,40,NA,NA,"Paulist","",NA,NA,"Meriden CT"
"111",1,"Church of St. Paul the Apostle",250,"New York","NY","3/25/1860","3/28/1860",925,"",NA,"New York","mission",25,NA,NA,NA,NA,"Paulist","",NA,NA,"New York NY"
"112",1,"Cathedral",251,"Kingston","ON","4/15/1860","4/25/1860",2640,"5",NA,"Kingston","mission",26,NA,NA,NA,NA,"Paulist","",NA,NA,"Kingston ON"
"113",1,"St. Mary's Church",255,"Norwich","CT","5/6/1860","5/16/1860",1900,"5",NA,"","mission",27,NA,NA,NA,NA,"Paulist","",NA,NA,"Norwich CT"
"114",1,"Church of the Immaculate Conception",259,"Lawrence","MA","9/30/1860","10/12/1860",2150,"",NA,"Boston","mission",28,NA,NA,NA,NA,"Paulist","",NA,NA,"Lawrence MA"
"115",1,"St. Patrick's Church",261,"Elizabethport","NJ","10/20/1860","10/28/1860",1000,"1",NA,"Newark","mission",29,NA,NA,NA,NA,"Paulist","",NA,NA,"Elizabethport NJ"
"116",1,"St. Soryl's Church",263,"Hudson City","NJ","11/4/1860","11/12/1860",1100,"1",NA,"Newark","mission",30,NA,NA,NA,NA,"Paulist","",NA,NA,"Hudson City NJ"
"117",1,"St. James Church",266,"New York","NY","11/25/1860","12/9/1860",6950,"10",NA,"New York","mission",31,NA,NA,NA,NA,"Paulist","",NA,NA,"New York NY"
"118",1,"St. John Baptist Church",271,"Boston","MA","12/30/1860","1/10/1861",4550,"",NA,"Boston","mission",32,NA,NA,NA,NA,"Paulist","",NA,NA,"Boston MA"
"119",1,"St. Gregory's Church",274,"Haverhill","MA","1/20/1861","1/28/1861",1002,"4",NA,"Boston","mission",33,NA,NA,NA,NA,"Paulist","",NA,NA,"Haverhill MA"
"120",1,"Church of the Holy Redeemer",276,"East Boston","MA","2/13/1861","2/27/1861",2900,"",NA,"Boston","mission",34,NA,NA,NA,NA,"Paulist","",NA,NA,"East Boston MA"
"121",1,"Church of the Immaculate Conception",278,"Newburyport","MA","3/3/1861","3/13/1861",1900,"",NA,"Boston","mission",35,NA,NA,NA,NA,"Paulist","",NA,NA,"Newburyport MA"
"122",1,"",281,"Pittston","PA","4/14/1861","4/22/1861",1980,"3",NA,"","mission",36,NA,NA,NA,NA,"Paulist","",NA,NA,"Pittston PA"
