volume,page,mission_number,type,church,city,state,start_date,end_date,confessions_total,converts,under_instruction,diocese,confessions_adults,confessions_children,confessions_men,confessions_women,order,notes,converts_adult,converts_children,temperance_pledges,confirmed
2,70,,mission,Church of the Holy Name,New York,NY,5/18/1873,5/25/1873,1030,,,New York,,,,,Paulist,,,,,
2,72,,mission,St. Elizabeth's Church,Washington Heights,NY,9/21/1873,9/28/1873,1007,,,,,,,,Paulist,,,,,
2,73,,mission,St. Mary's Church,Fall River,MA,10/5/1873,10/19/1873,5300,8,,Providence,,,,,Paulist,,,,,
2,76,,mission,St. Patrick's Church,New London,CT,10/26/1873,11/4/1873,1400,2,,,,,,,Paulist,,,,,
2,78,,mission,St. Mary's Church,Providence,RI,11/2/1873,11/11/1873,4000,,,,,,,,Paulist,,,,,
2,79,,mission,Church of St. John the Baptist,Canton,OH,11/16/1873,11/25/1873,700,22,,,,,,,Paulist,,,,,
2,80,,mission,St. Joseph's Cathedral,Buffalo,NY,11/30/1873,12/14/1873,4500,7,,Buffalo,,,,,Paulist,,,,,
2,81,,mission,St. Malachy's Church,Arlington,MA,1/4/1874,1/12/1874,1170,4,,Boston,,,,,Paulist,,,,,
2,82,,mission,Church of St. Bridget,Lexington,MA,1/4/1874,1/13/1874,400,4,,Boston,,,,,Paulist,,,,,
2,83,,mission,Church of the Assumption,East Boston,MA,1/16/1874,2/1/1874,2350,18,,Boston,,,,,Paulist,,,,,
2,84,,mission,Church of St. Michael,Brattleboro,VT,2/8/1874,2/15/1874,570,2,,,,,,,Paulist,,,,,
2,87,,mission,Church of St. Joseph,Kingston,NY,2/22/1874,3/2/1874,1400,1,,,,,,,Paulist,,,,,
2,88,,mission,Church of the Sacred Heart,Central Falls,NY,3/8/1874,3/16/1874,1450,12,,,,,,,Paulist,,,,,
2,90,,mission,St. Joseph's Church,Circleville,OH,2/8/1874,2/17/1874,400,8,,,,,,,Paulist,,,,,
2,92,,mission,St. Joseph's Church,Fond du Lac,WI,2/22/1874,3/4/1874,1650,2,,Milwaukee,,,,,Paulist,,,,,
2,93,,mission,Church of the Holy Cross,Ovid,NY,3/22/1874,3/29/1874,700,3,,,,,,,Paulist,,,,,
2,94,,mission,Church of the Nativity,New York,NY,4/12/1874,4/28/1874,4280,6,,New York,,,,,Paulist,,,,,
2,95,,mission,Church of St. Rose of Lima,Suffern,NY,5/3/1874,5/8/1874,150,2,,New York,,,,,Paulist,,,,,
2,95,,mission,Church of St. Mary,Greenwood,NY,5/10/1874,5/17/1874,260,,,,,,,,Paulist,,,,,
2,98,,mission,St. Jarlath's Church,Chicago,IL,9/27/1874,10/7/1874,800,1,,Chicago,,,,,Paulist,,,,,
2,99,,mission,Church of St. Pius,Chicago,IL,10/11/1874,10/25/1874,1500,12,,Chicago,,,,,Paulist,,,,,
2,100,,mission,Church of the Annunciation,Manhattanville,NY,10/4/1874,10/14/1874,2600,6,,,,,,,Paulist,,,,,
2,102,,mission,St. John's Church,Trenton,NJ,10/25/1874,11/5/1874,2700,6,,,,,,,Paulist,,,,,
2,103,,mission,St. Mary's Church,New Haven,CT,11/8/1874,11/19/1874,2600,8,,,,,,,Paulist,,,,,
2,104,,mission,St. Mary's Church,Jersey City,NJ,12/6/1874,12/20/1874,4800,6,,,,,,,Paulist,,,,,
2,105,,mission,St. Mary's Cathedral,Ogdensburg,NY,1/3/1875,1/14/1875,1850,6,,Ogdensburg,,,,,Paulist,,,,,
